Identifiant trajectoire,Identifiant site,Nom du site,Type voie,Sens de circulation,Trajectoire,Coordonnées Géo long, Coordonnées Géo lat
10022_5 -> 1,10022,[Paris] CF892 Rivoli x Bourdonnais,Voie de circulation générale,E-O,5 -> 1,48.859617,2.344817
10023_1 -> 1,10023,[Paris] CF318 Rivoli x Lobau,Piste cyclable,O-E,1 -> 1,48.856949,2.353837
10030_3 -> 2,10030,[Paris] CF1 Rivoli x Sébastopol,Piste cyclable,S-N,3 -> 2,48.858628,2.348208
10022_2 -> 3,10022,[Paris] CF892 Rivoli x Bourdonnais,Piste cyclable,O-E,2 -> 3,48.859617,2.344817
10004_5 -> 1,10004,[Paris] Rivoli x Nicolas Flamel,Piste cyclable,E-O,5 -> 1,48.858273,2.349109
10022_3 -> 2,10022,[Paris] CF892 Rivoli x Bourdonnais,Coronapiste,E-O,3 -> 2,48.859617,2.344817
10004_2 -> 2,10004,[Paris] Rivoli x Nicolas Flamel,Coronapiste,E-O,2 -> 2,48.858273,2.349109
10019_1 -> 1,10019,[Paris] Quai de Valmy,Voie de circulation générale,SO-NE,1 -> 1,48.877338,2.365016
10030_1 -> 1,10030,[Paris] CF1 Rivoli x Sébastopol,Voie de circulation générale,S-N,1 -> 1,48.858628,2.348208
10023_4 -> 1,10023,[Paris] CF318 Rivoli x Lobau,Coronapiste,E-O,4 -> 1,48.856949,2.353837
10004_4 -> 3,10004,[Paris] Rivoli x Nicolas Flamel,Voie de circulation générale,E-O,4 -> 3,48.858273,2.349109
10022_3 -> 3,10022,[Paris] CF892 Rivoli x Bourdonnais,Piste cyclable,E-O,3 -> 3,48.859617,2.344817
10022_5 -> 3,10022,[Paris] CF892 Rivoli x Bourdonnais,Piste cyclable,E-O,5 -> 3,48.859617,2.344817
10023_3 -> 1,10023,[Paris] CF318 Rivoli x Lobau,Coronapiste,O-E,3 -> 1,48.856949,2.353837
10030_2 -> 1,10030,[Paris] CF1 Rivoli x Sébastopol,Voie de circulation générale,S-N,2 -> 1,48.858628,2.348208
10004_1 -> 2,10004,[Paris] Rivoli x Nicolas Flamel,Coronapiste,O-E,1 -> 2,48.858273,2.349109
10019_2 -> 1,10019,[Paris] Quai de Valmy,Voie de circulation générale,NE-SO,2 -> 1,48.877338,2.365016
10022_2 -> 2,10022,[Paris] CF892 Rivoli x Bourdonnais,Coronapiste,O-E,2 -> 2,48.859617,2.344817
10023_2 -> 1,10023,[Paris] CF318 Rivoli x Lobau,Piste cyclable,E-O,2 -> 1,48.856949,2.353837
10022_1 -> 2,10022,[Paris] CF892 Rivoli x Bourdonnais,Coronapiste,E-O,1 -> 2,48.859617,2.344817
10022_5 -> 2,10022,[Paris] CF892 Rivoli x Bourdonnais,Coronapiste,E-O,5 -> 2,48.859617,2.344817
10022_3 -> 1,10022,[Paris] CF892 Rivoli x Bourdonnais,Voie de circulation générale,E-O,3 -> 1,48.859617,2.344817
10004_3 -> 2,10004,[Paris] Rivoli x Nicolas Flamel,Coronapiste,O-E,3 -> 2,48.858273,2.349109
10022_1 -> 1,10022,[Paris] CF892 Rivoli x Bourdonnais,Voie de circulation générale,E-O,1 -> 1,48.859617,2.344817
10029_2 -> 1,10029,[Paris] CF4 Poissonnière x Montmartre OUEST,Voie de circulation générale,E-O,2 -> 1,48.8714843,2.341831
10004_2 -> 1,10004,[Paris] Rivoli x Nicolas Flamel,Piste cyclable,E-O,2 -> 1,48.858273,2.349109
10020_2 -> 1,10020,[Paris] Quai de Jemmapes,Voie de circulation générale,NE-SO,2 -> 1,48.875967,2.364635
10030_4 -> 2,10030,[Paris] CF1 Rivoli x Sébastopol,Piste cyclable,N-S,4 -> 2,48.858628,2.348208
10020_1 -> 1,10020,[Paris] Quai de Jemmapes,Voie de circulation générale,SO-NE,1 -> 1,48.875967,2.364635
10022_1 -> 3,10022,[Paris] CF892 Rivoli x Bourdonnais,Piste cyclable,E-O,1 -> 3,48.859617,2.344817
10015_1 -> 1,10015,[Paris] Amsterdam x Clichy,Voie de circulation générale,N-S,1 -> 1,48.883513,2.327263
10004_4 -> 2,10004,[Paris] Rivoli x Nicolas Flamel,Coronapiste,E-O,4 -> 2,48.858273,2.349109
10004_5 -> 3,10004,[Paris] Rivoli x Nicolas Flamel,Voie de circulation générale,E-O,5 -> 3,48.858273,2.349109
10015_2 -> 2,10015,[Paris] Amsterdam x Clichy,Coronapiste,S-N,2 -> 2,48.883513,2.327263
10004_4 -> 1,10004,[Paris] Rivoli x Nicolas Flamel,Piste cyclable,E-O,4 -> 1,48.858273,2.349109
10004_5 -> 2,10004,[Paris] Rivoli x Nicolas Flamel,Coronapiste,E-O,5 -> 2,48.858273,2.349109
10028_1 -> 1,10028,[Paris] CF4 Poissonnière x Montmartre EST,Voie de circulation générale,O-E,1 -> 1,48.8714843,2.3418311
10029_3 -> 1,10029,[Paris] CF4 Poissonnière x Montmartre OUEST,Piste cyclable,E-O,3 -> 1,48.8714843,2.341831
10004_1 -> 1,10004,[Paris] Rivoli x Nicolas Flamel,Piste cyclable,O-E,1 -> 1,48.858273,2.349109
10022_4 -> 2,10022,[Paris] CF892 Rivoli x Bourdonnais,Coronapiste,O-E,4 -> 2,48.859617,2.344817
10028_2 -> 1,10028,[Paris] CF4 Poissonnière x Montmartre EST,Piste cyclable,O-E,2 -> 1,48.8714843,2.3418311
10022_4 -> 3,10022,[Paris] CF892 Rivoli x Bourdonnais,Piste cyclable,O-E,4 -> 3,48.859617,2.344817
10029_1 -> 1,10029,[Paris] CF4 Poissonnière x Montmartre OUEST,Voie de circulation générale,E-O,1 -> 1,48.8714843,2.341831
10004_3 -> 1,10004,[Paris] Rivoli x Nicolas Flamel,Piste cyclable,O-E,3 -> 1,48.858273,2.349109
10004_2 -> 3,10004,[Paris] Rivoli x Nicolas Flamel,Voie de circulation générale,E-O,2 -> 3,48.858273,2.349109
10023_5 -> 1,10023,[Paris] CF318 Rivoli x Lobau,Voie de circulation générale,E-O,5 -> 1,48.856949,2.353837
